subplot,tag,species,fate,DBH_cm,bottom_in,top_in,date,notes
D03E,467,QURU,kill,14.1,0.07,,2021-06-16,
D03E,472,PIRE,kill,21.1,0.23,,2021-06-16,
D03E,473,PIRE,kill,8.9,-0.02,,2021-06-16,
D03E,480,POGR,kill,22,0.35,0.17,2021-06-16,
D03E,486,ACRU,kill,8.1,0.17,0.14,2021-06-16,
D03E,495,POGR,live,29.6,NA,,2021-06-16,felled
D03W,501,QURU,kill,29.4,0.59,0.31,2021-06-16,
D03W,506,POGR,kill,23.1,1.44,0.6,2021-06-16,
D03W,508,QURU,live,26.6,2.12,,2021-06-16,
D03W,510,QURU,kill,12.7,0.04,,2021-06-16,
D03W,513,ACRU,live,13.6,0.49,,2021-06-16,
D03W,514,POGR,kill,33.6,0.31,1.75,2021-06-16,
D03W,520,QURU,kill,34.5,0.75,0.4,2021-06-16,
D03W,524,POGR,live,20.4,0.28,,2021-06-16,
D03W,526,FAGR,live,8.6,0.52,,2021-06-16,
D03W,527,FAGR,live,10.4,0.75,,2021-06-16,
D03W,537,POGR,live,26.2,0.83,,2021-06-16,
D03W,543,PIST,live,11.6,1.01,0.56,2021-06-16,
D03W,545,POGR,live,26.1,0.55,0.25,2021-06-16,
D03W,554,POGR,kill,28.7,0.77,0.96,2021-06-16,
D03W,557,ACRU,live,8.7,0.1,0.01,2021-06-16,
D03W,564,PIST,live,9.1,0.49,0.35,2021-06-16,
D03W,570,POGR,live,17.5,0.27,,2021-06-16,
D03W,574,QURU,live,28.1,1.02,0.88,2021-06-16,
D03W,579,POGR,kill,20.2,NA,NA,2021-06-16,felled
D04E,145,ACRU,live,10.9,0.05,0.05,2021-06-16,
D04E,147,ACRU,live,15.8,0.22,-0.01,2021-06-16,
D04E,162,PIST,live,9.9,1.82,,2021-06-16,
D04E,175,PIST,live,10.4,0.92,,2021-06-16,
D04E,177,PIST,live,11.2,1.8,,2021-06-16,
D04E,181,PIST,live,9.5,1.65,,2021-06-16,
D04E,182.2,QURU,kill,34.5,0.76,0.31,2021-06-16,
D04E,184,ACRU,live,11,0.29,,2021-06-16,
D04E,185,PIST,live,8.3,1.27,,2021-06-16,
D04E,191,POGR,kill,31.8,0.8,,2021-06-16,
D04E,196,PIST,live,15.1,1.33,0.88,2021-06-16,
D04E,198,PIST,kill,26.8,1.47,,2021-06-16,
D04E,200,POGR,live,22.7,0.33,,2021-06-16,
D04E,202,PIST,live,9.4,0.65,,2021-06-16,
D04E,204,QURU,kill,27.7,0.11,0.09,2021-06-16,
D04W,3,ACRU,kill,11.7,0.85,0.38,2021-06-16,
D04W,4,ACRU,kill,12.7,0.7,0.18,2021-06-16,
D04W,8,ACRU,kill,13.9,0.62,,2021-06-16,
D04W,11,PIST,kill,13.1,1.17,0.17,2021-06-16,
D04W,24,POGR,live,19.6,0.39,,2021-06-16,
D04W,29,PIST,kill,15.2,1.15,,2021-06-16,
D04W,42,POGR,kill,10.5,0.09,,2021-06-16,
D04W,47,POGR,kill,13.4,0.01,,2021-06-16,
D04W,50,PIST,kill,9.5,0.46,0.08,2021-06-16,
D04W,52,PIST,kill,10.4,2.12,1.18,2021-06-16,
D04W,64,POGR,kill,18.6,NA,,2021-06-16,felled
D04W,66,POGR,live,23.1,0.94,,2021-06-16,
D04W,83,PIST,kill,14.1,1.1,0.06,2021-06-16,
D04W,109,ACRU,kill,14.5,0.38,,2021-06-16,
D04W,127,POGR,live,25.9,0.64,,2021-06-16,
D04W,135,POGR,live,24.1,0.65,,2021-06-16,
D04W,140,PIST,kill,15.5,1.3,0.34,2021-06-16,
D04W,143,POGR,kill,9.8,0.46,,2021-06-16,
